id,ra,dec,wid,hei,stcs,score
1,187.287228500645,-62.6876148176328,0.0562381572800632,0.0260104443530693,Polygon J2000 187.33912535049 -62.6616054228651 187.343512531474 -62.7116786437002 187.235239903703 -62.7136263115712 187.231036216914 -62.6635488923945,0.99999988079071
2,187.44879226197,-62.952848541581,0.0639461652786082,0.0289839378295191,Polygon J2000 187.507556422343 -62.9238660064944 187.512796771326 -62.9794972710251 187.389911413442 -62.9818338821534 187.384904440769 -62.9261970066512,0.999990940093994
3,186.738990273461,-62.834461053947,0.230752684255592,0.103108853485843,Polygon J2000 186.95548802835 -62.731365758123 186.970505885738 -62.931272584406 186.52096666253 -62.9375834650947 186.509000517227 -62.7376224081645,0.999969601631165
4,186.714230303385,-62.8527805601818,0.126065853170445,0.0577512303276038,Polygon J2000 186.832586611652 -62.795033428542 186.840529938119 -62.9071407235124 186.59540643199 -62.9105358891972 186.588398231778 -62.7984121994754,0.99719774723053
5,187.459098181322,-62.8629455984497,0.0510239122175591,0.0232742748808512,Polygon J2000 187.505967235708 -62.8396722267064 187.510159351357 -62.8843459510024 187.412154611302 -62.8862207764681 187.408111526922 -62.841543439622,0.933809399604797
6,187.14506490366,-62.6995087201776,0.0446839554925731,0.0203883973874213,Polygon J2000 187.186536452722 -62.6791209421988 187.189777569986 -62.7184342988002 187.103535932931 -62.7198977369736 187.100409659001 -62.6805819027379,0.75426173210144
7,183.968377689434,-62.4654538821327,0.0460844519514154,0.0212925959624357,Polygon J2000 184.014429885041 -62.4446776260169 184.013370306149 -62.4867467117505 183.922260981138 -62.4862296709379 183.923449585408 -62.4441615198256,0.999927997589111
8,184.284868147548,-62.1254647210189,0.10850910265782,0.0505619433084554,Polygon J2000 184.393197135351 -62.0756424472288 184.391963612844 -62.1760274609381 184.176178930035 -62.1752854015877 184.178132911964 -62.0749035743212,0.999864816665649
9,184.399475223678,-62.4310210842494,0.190448858402974,0.0892254499938225,Polygon J2000 184.589358573522 -62.3427752155529 184.588328035438 -62.5202484063884 184.208460856716 -62.5192632086557 184.211753429035 -62.3417975064007,0.942129731178284
10,184.233982422478,-62.1983165329646,0.288339559367031,0.13450998699026,Polygon J2000 184.521047694579 -62.0659725267932 184.5188960819 -62.3328327362446 183.944368575845 -62.3306481065564 183.951617337588 -62.0638127622641,0.802404582500458
11,185.780817682067,-62.6610236065817,0.116512875317952,0.0538423714842331,Polygon J2000 185.893458620145 -62.6071831368173 185.897536661179 -62.7131990613288 185.667764536403 -62.7148678797858 185.664510910543 -62.608844348395,0.999922871589661
12,185.622348461895,-63.2923135309159,0.0709877649811546,0.0317231248910304,Polygon J2000 185.691392366443 -63.2605909801734 185.69341219535 -63.3231907343705 185.553152620398 -63.3240372299555 185.551436665387 -63.2614351791644,0.999877214431763
13,184.836139968487,-62.9255955130998,0.132250143776645,0.0605370229335378,Polygon J2000 184.967689236366 -62.8650586725559 184.968544816557 -62.9859927638496 184.704044529004 -62.986132718423 184.70428129202 -62.8651978975709,0.998310089111328
14,184.948568403577,-62.920625831177,0.0704278275995023,0.0319374287567058,Polygon J2000 185.018511811136 -62.8886885303942 185.019072741604 -62.952377143703 184.878471975165 -62.9525633879076 184.878217086405 -62.8888742627032,0.957203388214111
410,189.27688327298,-62.3866252911272,0.0448159982286427,0.0207226745368239,Polygon J2000 189.321668472842 -62.3661893918944 189.321107677293 -62.4073480926703 189.232036476385 -62.4070609363475 189.2327204654 -62.3659027435967,0.999987840652466
411,189.792023706005,-62.2917675484533,0.0624483407924572,0.0289683632184214,Polygon J2000 189.854284457776 -62.2627992217456 189.854532570154 -62.3206771711179 189.72964190752 -62.3207359481824 189.729635888569 -62.2628578527674,0.989283800125122
412,189.354912261629,-62.8184243953305,0.0323154362818485,0.0147349590396928,Polygon J2000 189.38721163844 -62.8038587534516 189.38687223624 -62.8331594079836 189.322580765876 -62.8329899299824 189.32298440596 -62.8036894899042,0.651117503643036
413,189.981961045923,-63.1910701410328,0.331650831181278,0.144926117441525,Polygon J2000 190.309046044857 -63.046147732664 190.314885818298 -63.3348081587338 189.651584155936 -63.3359999675471 189.6523281646 -63.0473247051863,0.999838948249817
414,188.88683721321,-63.0775603013218,0.0550401918635828,0.024897066574507,Polygon J2000 188.941831456198 -63.0533058339182 188.940502614438 -63.1024577102696 188.831751072471 -63.1018140839787 188.833263709734 -63.0526635771206,0.985719859600067
415,189.699313775158,-63.1990260725782,0.0619237726998136,0.0279199403082195,Polygon J2000 189.761144451632 -63.1711297772939 189.761211286407 -63.2269460272143 189.637363741007 -63.2269223392068 189.637535621586 -63.1711061465978,0.941469788551331
416,190.008753047992,-63.3134708336071,0.0726883018999018,0.0328126838708869,Polygon J2000 190.080719376779 -63.28065835281 190.081523395335 -63.3459972418911 189.936622628317 -63.3462837205517 189.936146791535 -63.2809440191757,0.940976917743683
417,188.877570978123,-63.0334707976241,0.0654687985144164,0.0295499767031444,Polygon J2000 188.942975023905 -63.0046943302393 188.941402556983 -63.0630212631808 188.812037426876 -63.0622462873018 188.813868904727 -63.0039213097745,0.861908376216888
418,189.74130521372,-63.18949587138,0.0264916478368633,0.012926775559599,Polygon J2000 189.767766615111 -63.1765690973613 189.767803456906 -63.2024171502429 189.714820161232 -63.2024226484805 189.71483062163 -63.1765745894353,0.829223811626434
419,188.717865905563,-63.2739072626098,0.0335375566255891,0.015090522924865,Polygon J2000 188.751386467515 -63.2592836085144 188.750381688732 -63.2889979362215 188.684311354264 -63.2885306153316 188.685384111739 -63.2588168903718,0.576638460159302
